spy,capture_year
Whittakerr Chambers,1932
Alger Hiss,1932
Juliet Stuart Poyntz,1937
Michael Whitney Straight,1937
Lauchlin Currie,1939
Jacob Golos,1939
Tyler Kent,1940
Jones York,1940
Nathan Gregory Silvermastcr,1942
Harry Dexter White,1942
Lona Cohen,1944
Morris Cohen,1944
Theodore Alvin Hall né Holzlmrg,1944
Saville Sax,1944
Elizabeth Bentley,1945
Duncan Chaplin Lee,1945
Donald Niven Wheeler,1945
Laurence Duggan,1948
Judith Coplon,1949
Gustav Adolph Mueller,1949
Joel Barr,1950
Harry Gold,1950
David Greenglass,1950
Ruth Greenglass,1950
Russell McNutt,1950
Miriam Moskowitz,1950
Ethel Grecnglass Rosenberg,1950
Julius Rosenberg,1950
Alfred Epaminondas Sarant,1950
Morton Sobell,1950
William Wcisband,1950
William W. Remington,1951
Robert Lee Johnson,1953
James Allen Mintkenbaugh,1953
Kurt Leopold Pongcr,1953
Otto Verber,1953
Jacob Abram,1957
George Holmes French,1957
Boris Morros,1957
Jack Soble,1957
Myra Soble,1957
Robert Soblen,1957
Alfred Stern,1957
Martha Stern,1957
Jane Foster Zlatovski,1957
Roy Adair Rhodes,1958
John Gilmore,1960
William Hamilton Martin,1960
Bernon Ferguson Mitchell,1960
John William Butenko,1963
Nelson Cornelious Drummond,1963
Jack Edward Dunlap,1963
Victor Norris Hamilton,1963
First name unknown Wesson,1963
George John Gessner,1964
Robert Glenn Thompson,1965
Herbert Boeckenhaupt,1966
William Henry Whalcn,1966
Ulysses Leonard Harris,1967
Gary Lee Ledbetter,1967
Leonard JenkinssTSaf-ford,1967
Edward Hillcdon Winc,1968
Raymond George DeChamplin,1971
Walter Thomas Perkins,1971
First name unknown Walton,1972
Oliver Everett Grunden,1973
james David Wood,1973
Sadag Katcher Dedeyan,1975
Edwin Gibbons Moore II,1975
Sarkis Paskalian,1975
David Henry Barnett,1977
Christopher Boyce,1977
Andrew Daulton Lee,1977
Ivan Rogalsky,1977
William Kampiles,1978
Glenn Michael Souther,1980
Chrisropher Michael Cooke,1981
Joseph George Hclmich,1981
Michael Richard Murphy,1981
Brian Patrick Horton,1982
Brian Everett Sluvens,1982
Robert Wade Ellis,1983
Jeffery Loring Pickering,1983
Hans Palmer Wold,1983
Thomas Patrick Cavanaugh,1984
Robert Ernest Cordrey,1984
Richard William Miller,1984
Nikolai Ogorodnikov,1984
Svetlana Ogorodnikov,1984
Charles Dale Slatten,1984
Richard Craig Smith,1984
Edward Owen Buchanan,1985
Dale Vern Irene,1985
Randy Miles Jeffries,1985
Ronald William Pelton,1985
Francis Xavier Pizzo,1985
Bruce Edward Tobias,1985
Michael Timothy Tobias,1985
Arthur James Walker,1985
Michael Lance Walker,1985
John Anthony Walker Jr.,1985
Jerry Alfred Whitworth,1985
Arnold Bracy,1986
Robert Dean Hagucwood,1986
Edward Lee Howard,1986
Clayton John Lonetrre,1986
Bruce Damian Ott,1986
Svetlana Tumanova,1987
James Michael Hall III,1988
Daniel Walter Richardson,1988
Huscyin Yildirim,1988
Russell Paul Brown,1989
John Joseph Haeger,1989
Craig D. Kunkle,1989
Frank Arnold Ncsbitt,1989
Charles Edward Schoof,1989
James Rodney Wilmoth,1989
Ronald Craig WolfMay S,1989
Felix Bloch,1990
Aldrich Hazen Ames,1994
Maria del Rosario Casa Ames,1994
Patricia Lipka,1994
Robert Stephen Lipka,1994
Kota Subrahmanyam,1995
Robert P. Hanssen,1996
Kurt G. Lessenthien,1996
Harold ]. Nicholson,1996
Nathaniel Nicholson,1996
Edwin Earl Pitts,1996
David Sheldon Boone,1998
Daniel M. King,1999
George Trofimoff,2000
Hafiz Ahmad Ali Shaaban,2005
Ariel Jonathan Wcinmann,2006
Robert Patrick Hoffman,2012
